state,year,median_household_income,population
AL,2005,36879.0,4442558.0
AK,2005,56234.0,641724.0
AZ,2005,44282.0,5829839.0
AR,2005,34999.0,2701431.0
CA,2005,53629.0,35278768.0
CO,2005,50652.0,4562244.0
CT,2005,60941.0,3394751.0
DE,2005,52499.0,818587.0
DC,2005,47221.0,515118.0
FL,2005,42433.0,17382511.0
GA,2005,45604.0,8821142.0
HI,2005,58112.0,1238158.0
ID,2005,41443.0,1395634.0
IL,2005,50260.0,12440351.0
IN,2005,43993.0,6093372.0
IA,2005,43609.0,2862541.0
KS,2005,42920.0,2662616.0
KY,2005,37369.0,4058633.0
LA,2005,36729.0,4389747.0
ME,2005,42801.0,1283673.0
MD,2005,61592.0,5461318.0
MA,2005,57184.0,6182860.0
MI,2005,46039.0,9865583.0
MN,2005,52024.0,4989848.0
MS,2005,32938.0,2824156.0
MO,2005,41974.0,5631910.0
MT,2005,39301.0,910651.0
NE,2005,43849.0,1706976.0
NV,2005,49169.0,2381281.0
NH,2005,56768.0,1272486.0
NJ,2005,61672.0,8521427.0
NM,2005,37492.0,1887200.0
NY,2005,49480.0,18655275.0
NC,2005,40729.0,8411041.0
ND,2005,41030.0,609645.0
OH,2005,43493.0,11155606.0
OK,2005,37063.0,3433496.0
OR,2005,42944.0,3560109.0
PA,2005,44537.0,11979147.0
RI,2005,51458.0,1032662.0
SC,2005,39316.0,4113961.0
SD,2005,40310.0,746033.0
TN,2005,38874.0,5810590.0
TX,2005,42139.0,22270165.0
UT,2005,47934.0,2427350.0
VT,2005,45686.0,602290.0
VA,2005,54240.0,7332608.0
WA,2005,49262.0,6146338.0
WI,2005,47105.0,5375751.0
WY,2005,46202.0,495226.0
AL,2006,38783.0,4599030.0
AK,2006,59393.0,670053.0
AZ,2006,47265.0,6166318.0
AR,2006,36599.0,2810872.0
CA,2006,56645.0,36457549.0
CO,2006,52015.0,4753377.0
CT,2006,63422.0,3504809.0
DE,2006,52833.0,853476.0
DC,2006,51847.0,581530.0
FL,2006,45495.0,18089889.0
GA,2006,46832.0,9363941.0
HI,2006,61160.0,1285498.0
ID,2006,42865.0,1466465.0
IL,2006,52006.0,12831970.0
IN,2006,45394.0,6313520.0
IA,2006,44491.0,2982085.0
KS,2006,45478.0,2764075.0
KY,2006,39372.0,4206074.0
LA,2006,39337.0,4287768.0
ME,2006,43439.0,1321574.0
MD,2006,65144.0,5615727.0
MA,2006,59963.0,6437193.0
MI,2006,47182.0,10095643.0
MN,2006,54023.0,5167101.0
MS,2006,34473.0,2910540.0
MO,2006,42841.0,5842713.0
MT,2006,40627.0,944632.0
NE,2006,45474.0,1768331.0
NV,2006,52998.0,2495529.0
NH,2006,59683.0,1314895.0
NJ,2006,64470.0,8724560.0
NM,2006,40629.0,1954599.0
NY,2006,51384.0,19306183.0
NC,2006,42625.0,8856505.0
ND,2006,41919.0,635867.0
OH,2006,44532.0,11478006.0
OK,2006,38770.0,3579212.0
OR,2006,46230.0,3700758.0
PA,2006,46259.0,12440621.0
RI,2006,51814.0,1067610.0
SC,2006,41100.0,4321249.0
SD,2006,42791.0,781919.0
TN,2006,40315.0,6038803.0
TX,2006,44922.0,23507783.0
UT,2006,51309.0,2550063.0
VT,2006,47665.0,623908.0
VA,2006,56277.0,7642884.0
WA,2006,52583.0,6395798.0
WI,2006,48772.0,5556506.0
WY,2006,47423.0,515004.0
AL,2007,40554.0,4627851.0
AK,2007,64333.0,683478.0
AZ,2007,49889.0,6338755.0
AR,2007,38134.0,2834797.0
CA,2007,59948.0,36553215.0
CO,2007,55212.0,4861515.0
CT,2007,65967.0,3502309.0
DE,2007,54610.0,864764.0
DC,2007,54317.0,588292.0
FL,2007,47804.0,18251243.0
GA,2007,49136.0,9544750.0
IN,2007,47448.0,6345289.0
HI,2007,63746.0,1283388.0
ID,2007,46253.0,1499402.0
IL,2007,54124.0,12852548.0
IA,2007,47292.0,2988047.0
KS,2007,47451.0,2775997.0
KY,2007,40267.0,4241474.0
LA,2007,40926.0,4293204.0
ME,2007,45888.0,1317207.0
MD,2007,68080.0,5618344.0
MA,2007,62365.0,6449755.0
MI,2007,47950.0,10071822.0
MN,2007,55802.0,5197621.0
MS,2007,36338.0,2918785.0
MO,2007,45114.0,5878415.0
MT,2007,43531.0,957861.0
NE,2007,47085.0,1774571.0
NV,2007,55062.0,2565382.0
NH,2007,62369.0,1315828.0
NJ,2007,67035.0,8685920.0
NM,2007,41452.0,1969915.0
NY,2007,53514.0,19297729.0
NC,2007,44670.0,9061032.0
