state,year,pct_65plus,pct_nh_white
AL,2005,12.89,69.64
AK,2005,6.57,66.73
AZ,2005,12.61,60.16
AR,2005,13.46,77.02
CA,2005,10.49,43.3
CO,2005,9.71,71.93
CT,2005,13.04,75.28
DE,2005,13.05,69.64
DC,2005,12.13,29.68
FL,2005,16.58,61.98
GA,2005,9.2,59.68
HI,2005,13.64,22.97
ID,2005,11.23,86.91
IL,2005,11.54,65.63
IN,2005,11.93,84.22
IA,2005,14.05,91.53
KS,2005,12.4,81.6
KY,2005,12.22,88.91
LA,2005,11.36,61.88
ME,2005,14.12,95.95
MD,2005,11.16,59.11
MA,2005,12.89,79.73
MI,2005,12.11,78.04
MN,2005,11.57,86.2
MS,2005,11.95,60.03
MO,2005,12.8,83.02
MT,2005,13.29,89.19
NE,2005,12.77,85.39
NV,2005,11.24,59.76
NH,2005,11.89,93.94
NJ,2005,12.53,63.03
NM,2005,12.06,42.79
NY,2005,12.71,60.66
NC,2005,11.72,68.41
ND,2005,14.21,90.89
OH,2005,12.83,83.23
OK,2005,12.87,72.57
OR,2005,12.57,81.4
PA,2005,14.65,82.72
RI,2005,13.55,79.14
SC,2005,12.29,65.73
SD,2005,13.55,87.03
TN,2005,12.2,78.05
TX,2005,9.64,48.94
UT,2005,8.47,83.56
VT,2005,12.75,96.0
VA,2005,11.22,68.34
WA,2005,11.12,76.86
WI,2005,12.55,85.99
WY,2005,11.96,88.83
AL,2006,13.27,68.96
AK,2006,6.57,66.26
AZ,2006,12.81,59.49
AR,2006,13.83,76.34
CA,2006,10.77,42.79
CO,2006,10.03,71.53
CT,2006,13.42,74.49
DE,2006,13.42,68.75
DC,2006,12.29,31.56
FL,2006,16.77,61.03
GA,2006,9.68,58.75
HI,2006,13.93,24.57
ID,2006,11.55,86.28
IL,2006,11.94,65.13
IN,2006,12.37,83.81
IA,2006,14.6,91.02
KS,2006,12.87,80.95
KY,2006,12.73,88.35
LA,2006,12.19,62.72
ME,2006,14.56,95.27
MD,2006,11.53,58.32
MA,2006,13.31,79.29
MI,2006,12.48,77.63
MN,2006,12.16,85.85
MS,2006,12.39,59.26
MO,2006,13.34,82.51
MT,2006,13.9,88.56
NE,2006,13.19,84.84
NV,2006,11.02,58.64
NH,2006,12.31,93.57
NJ,2006,12.9,62.25
NM,2006,12.34,42.41
NY,2006,13.06,60.23
NC,2006,12.1,67.74
ND,2006,14.6,90.44
OH,2006,13.31,82.82
OK,2006,13.29,72.01
OR,2006,12.89,80.77
PA,2006,15.14,82.0
RI,2006,13.81,78.94
SC,2006,12.82,65.33
SD,2006,14.28,86.54
TN,2006,12.7,77.46
TX,2006,9.91,48.11
UT,2006,8.78,82.84
VT,2006,13.29,95.63
VA,2006,11.59,67.61
WA,2006,11.52,76.4
WI,2006,12.99,85.59
WY,2006,11.97,88.01
AL,2007,13.5,68.64
AK,2007,6.89,66.0
AZ,2007,12.92,58.82
AR,2007,14.04,75.9
CA,2007,10.95,42.47
CO,2007,10.15,71.16
CT,2007,13.46,74.02
DE,2007,13.54,68.5
DC,2007,11.94,32.34
FL,2007,16.97,60.57
GA,2007,9.85,58.31
HI,2007,14.38,24.58
ID,2007,11.66,85.5
IL,2007,12.04,64.9
IN,2007,12.5,83.39
IA,2007,14.68,90.51
KS,2007,12.93,80.63
KY,2007,12.87,88.01
LA,2007,12.16,62.23
ME,2007,14.8,94.5
MD,2007,11.77,57.88
MA,2007,13.33,79.09
MI,2007,12.7,77.46
MN,2007,12.23,85.64
MS,2007,12.39,58.83
MO,2007,13.37,82.2
MT,2007,13.73,88.18
NE,2007,13.28,84.7
NV,2007,11.1,57.85
NH,2007,12.59,93.16
NJ,2007,13.06,61.9
NM,2007,12.82,42.12
NY,2007,13.18,60.01
NC,2007,12.17,67.43
ND,2007,14.44,89.91
OH,2007,13.49,82.61
OK,2007,13.24,71.69
OR,2007,13.01,80.31
PA,2007,15.18,81.65
RI,2007,13.83,78.82
SC,2007,12.99,65.16
SD,2007,14.29,86.51
TN,2007,12.84,77.14
TX,2007,10.0,47.71
UT,2007,8.77,82.2
VT,2007,13.53,95.21
VA,2007,11.75,67.1
WA,2007,11.7,75.89
WI,2007,13.16,85.32
WY,2007,12.02,87.46
AL,2008,13.7,68.39
AK,2008,7.05,65.58
AZ,2008,13.29,58.18
AR,2008,14.16,75.61
CA,2008,11.2,42.04
CO,2008,10.37,70.78
CT,2008,13.63,73.6
DE,2008,13.83,68.21
DC,2008,11.91,32.82
FL,2008,17.37,60.1
GA,2008,10.15,57.9
HI,2008,14.74,24.81
ID,2008,11.95,85.06
IL,2008,12.19,64.46
IN,2008,12.75,83.06
IA,2008,14.78,90.23
KS,2008,13.09,80.22
KY,2008,13.2,87.75
LA,2008,12.22,61.77
ME,2008,15.13,95.16
MD,2008,12.05,57.47
MA,2008,13.4,78.55
MI,2008,13.01,77.33
MN,2008,12.47,85.31
MS,2008,12.54,58.59
MO,2008,13.57,82.09
MT,2008,14.07,87.86
NE,2008,13.45,84.18
NV,2008,11.35,56.98
NH,2008,12.86,93.0
NJ,2008,13.24,61.42
NM,2008,13.19,41.55
NY,2008,13.36,59.74
NC,2008,12.29,67.09
ND,2008,14.61,89.79
OH,2008,13.68,82.41
OK,2008,13.49,71.28
OR,2008,13.3,79.9
PA,2008,15.33,81.23
RI,2008,14.24,78.36
SC,2008,13.28,65.06
SD,2008,14.38,86.04
TN,2008,13.13,77.0
TX,2008,10.14,47.22
UT,2008,8.95,81.66
VT,2008,13.99,94.98
VA,2008,12.05,66.8
WA,2008,11.95,75.26
WI,2008,13.28,84.95
WY,2008,12.41,86.66
AL,2009,13.78,67.93
AK,2009,7.44,65.02
AZ,2009,13.15,57.13
AR,2009,14.28,74.99
CA,2009,11.21,41.46
CO,2009,10.63,70.46
CT,2009,13.84,72.83
DE,2009,14.22,67.38
DC,2009,11.68,33.34
FL,2009,17.26,59.28
GA,2009,10.28,57.34
HI,2009,14.56,24.89
ID,2009,11.98,84.44
IL,2009,12.36,64.44
IN,2009,12.88,82.63
IA,2009,14.78,89.9
KS,2009,13.03,79.82
KY,2009,13.22,87.23
LA,2009,12.33,61.34
ME,2009,15.54,94.18
MD,2009,12.13,56.64
MA,2009,13.55,78.18
MI,2009,13.42,77.27
MN,2009,12.71,84.73
MS,2009,12.72,58.24
MO,2009,13.73,81.77
MT,2009,14.48,87.6
NE,2009,13.43,83.29
NV,2009,11.61,55.63
NH,2009,13.47,92.66
NJ,2009,13.42,60.88
NM,2009,13.17,40.99
NY,2009,13.39,59.69
NC,2009,12.67,66.66
ND,2009,14.74,89.06
OH,2009,13.87,82.1
OK,2009,13.43,70.71
OR,2009,13.47,79.43
PA,2009,15.43,80.75
RI,2009,14.41,77.73
SC,2009,13.57,64.78
SD,2009,14.41,85.09
TN,2009,13.28,76.46
TX,2009,10.23,46.59
UT,2009,9.01,81.06
VT,2009,14.36,94.76
VA,2009,12.12,66.12
WA,2009,12.03,74.41
WI,2009,13.45,84.52
WY,2009,12.23,86.1
AL,2010,13.75,67.01
AK,2010,7.47,64.04
AZ,2010,13.83,57.75
AR,2010,14.38,74.49
CA,2010,11.43,40.02
CO,2010,10.93,69.88
CT,2010,14.21,71.04
DE,2010,14.39,65.34
DC,2010,11.49,34.76
FL,2010,17.37,57.76
GA,2010,10.64,55.8
HI,2010,14.53,22.65
ID,2010,12.53,84.02
IL,2010,12.57,63.61
IN,2010,12.99,81.5
IA,2010,14.85,88.55
KS,2010,13.26,78.12
KY,2010,13.33,86.44
LA,2010,12.31,60.29
ME,2010,15.88,94.46
MD,2010,12.28,54.62
MA,2010,13.82,76.31
MI,2010,13.82,76.49
MN,2010,12.93,83.06
MS,2010,12.89,58.04
MO,2010,14.06,80.96
MT,2010,14.88,87.82
NE,2010,13.54,82.21
NV,2010,12.1,54.04
NH,2010,13.64,92.17
NJ,2010,13.53,59.2
NM,2010,13.33,40.44
NY,2010,13.53,58.21
NC,2010,12.97,65.16
ND,2010,14.54,88.94
OH,2010,14.09,81.05
OK,2010,13.55,68.6
OR,2010,13.93,78.32
PA,2010,15.46,79.39
RI,2010,14.45,76.35
SC,2010,13.69,64.04
SD,2010,14.44,84.61
TN,2010,13.53,75.6
TX,2010,10.37,45.19
UT,2010,9.03,80.33
VT,2010,14.57,94.27
VA,2010,12.22,64.74
WA,2010,12.31,72.48
WI,2010,13.7,83.28
WY,2010,12.43,85.78
AL,2011,14.03,66.68
AK,2011,8.08,63.63
AZ,2011,14.24,57.28
AR,2011,14.59,74.25
CA,2011,11.67,39.58
CO,2011,11.25,69.59
CT,2011,14.39,70.7
DE,2011,14.76,65.02
DC,2011,11.28,35.25
FL,2011,17.63,57.34
GA,2011,10.96,55.44
HI,2011,14.8,22.9
ID,2011,12.89,83.48
IL,2011,12.76,63.13
IN,2011,13.14,81.26
IA,2011,14.96,88.38
KS,2011,13.3,77.71
KY,2011,13.59,86.08
LA,2011,12.49,59.97
ME,2011,16.36,94.26
MD,2011,12.56,54.24
MA,2011,13.99,75.81
MI,2011,14.05,76.31
MN,2011,13.12,82.73
MS,2011,12.99,57.69
MO,2011,14.22,80.79
MT,2011,15.12,87.42
