state,year,healthcare_spending_per_capita,total_health_spending_millions
CT,2001,,19023.0
CT,2002,,20522.0
CT,2003,,21661.0
CT,2004,,23474.0
CT,2005,7218.791599148214,24506.0
CT,2006,7417.5226096486285,25997.0
CT,2007,7855.103590231473,27511.0
CT,2008,8298.745705821802,29056.0
CT,2009,8828.72578936119,31062.0
CT,2010,8836.274797858472,31608.0
CT,2011,8929.795747155102,31975.0
CT,2012,9241.725103451003,33181.0
CT,2013,9439.167093056883,33944.0
CT,2014,9828.516711397771,35350.0
CT,2015,10287.433240709954,36941.0
CT,2016,10715.088584999883,38322.0
CT,2017,10949.549967337238,39289.0
CT,2018,11383.93888035962,40671.0
CT,2019,11833.549444967544,42190.0
CT,2020,,44425.0
ME,2001,,6492.0
ME,2002,,7117.0
ME,2003,,7841.0
ME,2004,,8501.0
ME,2005,7063.325317273168,9067.0
ME,2006,7306.439139995187,9656.0
ME,2007,7694.310765126514,10135.0
ME,2008,8008.623151856195,10543.0
ME,2009,8262.149539445089,10892.0
ME,2010,8343.081742767032,11076.0
ME,2011,8586.13389068415,11404.0
ME,2012,8745.914811404222,11625.0
ME,2013,8815.0134532659,11709.0
ME,2014,9122.697804432635,12134.0
ME,2015,9589.055522790462,12747.0
ME,2016,10024.191143833286,13347.0
ME,2017,10398.178915149034,13891.0
ME,2018,10963.80465091258,14674.0
ME,2019,11501.905949359178,15461.0
ME,2020,,16306.0
MA,2001,,35876.0
MA,2002,,39259.0
MA,2003,,42381.0
MA,2004,,44960.0
MA,2005,7745.9298771118865,47892.0
MA,2006,8021.198059464738,51634.0
MA,2007,8593.039580573215,55423.0
MA,2008,8934.025057375638,58053.0
MA,2009,9253.233482776523,61012.0
MA,2010,9546.52664057241,62599.0
MA,2011,9758.88405012132,64287.0
MA,2012,9979.019413362093,66322.0
MA,2013,10118.598666273012,67722.0
MA,2014,10423.535537064623,70311.0
MA,2015,11015.21218434769,74842.0
MA,2016,11516.227992716735,78446.0
MA,2017,11752.642453102626,80621.0
MA,2018,12186.349497815825,84112.0
MA,2019,12733.255248492456,87764.0
MA,2020,,91817.0
NH,2001,,5675.0
