state,year,marketplace_type
AK,2001,pre_ACA
AK,2002,pre_ACA
AK,2003,pre_ACA
AK,2004,pre_ACA
AK,2005,pre_ACA
AK,2006,pre_ACA
AK,2007,pre_ACA
AK,2008,pre_ACA
AK,2009,pre_ACA
AK,2010,pre_ACA
AK,2011,pre_ACA
AK,2012,pre_ACA
AK,2013,pre_ACA
AK,2014,FFM
AK,2015,FFM
AK,2016,FFM
AK,2017,FFM
AK,2018,FFM
AK,2019,FFM
AK,2020,FFM
AK,2021,FFM
AK,2022,FFM
AK,2023,FFM
AL,2001,pre_ACA
AL,2002,pre_ACA
AL,2003,pre_ACA
AL,2004,pre_ACA
AL,2005,pre_ACA
AL,2006,pre_ACA
AL,2007,pre_ACA
AL,2008,pre_ACA
AL,2009,pre_ACA
AL,2010,pre_ACA
AL,2011,pre_ACA
AL,2012,pre_ACA
AL,2013,pre_ACA
AL,2014,FFM
AL,2015,FFM
AL,2016,FFM
AL,2017,FFM
AL,2018,FFM
AL,2019,FFM
AL,2020,FFM
AL,2021,FFM
AL,2022,FFM
AL,2023,FFM
AR,2001,pre_ACA
AR,2002,pre_ACA
AR,2003,pre_ACA
AR,2004,pre_ACA
AR,2005,pre_ACA
AR,2006,pre_ACA
AR,2007,pre_ACA
AR,2008,pre_ACA
AR,2009,pre_ACA
AR,2010,pre_ACA
AR,2011,pre_ACA
AR,2012,pre_ACA
AR,2013,pre_ACA
AR,2014,FFM
AR,2015,FFM
AR,2016,FFM
AR,2017,FFM
AR,2018,FFM
AR,2019,FFM
AR,2020,FFM
AR,2021,FFM
AR,2022,FFM
AR,2023,FFM
AZ,2001,pre_ACA
AZ,2002,pre_ACA
AZ,2003,pre_ACA
AZ,2004,pre_ACA
AZ,2005,pre_ACA
AZ,2006,pre_ACA
AZ,2007,pre_ACA
AZ,2008,pre_ACA
AZ,2009,pre_ACA
AZ,2010,pre_ACA
AZ,2011,pre_ACA
AZ,2012,pre_ACA
AZ,2013,pre_ACA
AZ,2014,FFM
AZ,2015,FFM
AZ,2016,FFM
AZ,2017,FFM
AZ,2018,FFM
AZ,2019,FFM
AZ,2020,FFM
AZ,2021,FFM
AZ,2022,FFM
AZ,2023,FFM
CA,2001,pre_ACA
CA,2002,pre_ACA
CA,2003,pre_ACA
CA,2004,pre_ACA
CA,2005,pre_ACA
CA,2006,pre_ACA
CA,2007,pre_ACA
CA,2008,pre_ACA
CA,2009,pre_ACA
CA,2010,pre_ACA
CA,2011,pre_ACA
CA,2012,pre_ACA
CA,2013,pre_ACA
CA,2014,SBM
CA,2015,SBM
CA,2016,SBM
CA,2017,SBM
CA,2018,SBM
CA,2019,SBM
CA,2020,SBM
CA,2021,SBM
CA,2022,SBM
CA,2023,SBM
CO,2001,pre_ACA
CO,2002,pre_ACA
CO,2003,pre_ACA
CO,2004,pre_ACA
CO,2005,pre_ACA
CO,2006,pre_ACA
CO,2007,pre_ACA
CO,2008,pre_ACA
CO,2009,pre_ACA
CO,2010,pre_ACA
CO,2011,pre_ACA
CO,2012,pre_ACA
CO,2013,pre_ACA
CO,2014,SBM
CO,2015,SBM
CO,2016,SBM
CO,2017,SBM
CO,2018,SBM
CO,2019,SBM
CO,2020,SBM
CO,2021,SBM
CO,2022,SBM
CO,2023,SBM
CT,2001,pre_ACA
CT,2002,pre_ACA
CT,2003,pre_ACA
CT,2004,pre_ACA
CT,2005,pre_ACA
CT,2006,pre_ACA
CT,2007,pre_ACA
CT,2008,pre_ACA
CT,2009,pre_ACA
CT,2010,pre_ACA
CT,2011,pre_ACA
CT,2012,pre_ACA
CT,2013,pre_ACA
CT,2014,SBM
CT,2015,SBM
CT,2016,SBM
CT,2017,SBM
CT,2018,SBM
CT,2019,SBM
CT,2020,SBM
CT,2021,SBM
CT,2022,SBM
CT,2023,SBM
DC,2001,pre_ACA
DC,2002,pre_ACA
DC,2003,pre_ACA
DC,2004,pre_ACA
DC,2005,pre_ACA
DC,2006,pre_ACA
DC,2007,pre_ACA
DC,2008,pre_ACA
DC,2009,pre_ACA
DC,2010,pre_ACA
DC,2011,pre_ACA
DC,2012,pre_ACA
DC,2013,pre_ACA
DC,2014,SBM
DC,2015,SBM
DC,2016,SBM
DC,2017,SBM
DC,2018,SBM
DC,2019,SBM
DC,2020,SBM
DC,2021,SBM
DC,2022,SBM
DC,2023,SBM
DE,2001,pre_ACA
DE,2002,pre_ACA
DE,2003,pre_ACA
DE,2004,pre_ACA
DE,2005,pre_ACA
DE,2006,pre_ACA
DE,2007,pre_ACA
DE,2008,pre_ACA
DE,2009,pre_ACA
DE,2010,pre_ACA
DE,2011,pre_ACA
DE,2012,pre_ACA
DE,2013,pre_ACA
DE,2014,FFM
DE,2015,FFM
DE,2016,FFM
DE,2017,FFM
DE,2018,FFM
DE,2019,FFM
DE,2020,FFM
DE,2021,FFM
DE,2022,FFM
DE,2023,FFM
FL,2001,pre_ACA
FL,2002,pre_ACA
FL,2003,pre_ACA
FL,2004,pre_ACA
FL,2005,pre_ACA
FL,2006,pre_ACA
FL,2007,pre_ACA
FL,2008,pre_ACA
FL,2009,pre_ACA
FL,2010,pre_ACA
FL,2011,pre_ACA
FL,2012,pre_ACA
FL,2013,pre_ACA
FL,2014,FFM
FL,2015,FFM
FL,2016,FFM
FL,2017,FFM
FL,2018,FFM
FL,2019,FFM
FL,2020,FFM
FL,2021,FFM
FL,2022,FFM
FL,2023,FFM
GA,2001,pre_ACA
GA,2002,pre_ACA
GA,2003,pre_ACA
GA,2004,pre_ACA
GA,2005,pre_ACA
GA,2006,pre_ACA
GA,2007,pre_ACA
GA,2008,pre_ACA
GA,2009,pre_ACA
GA,2010,pre_ACA
GA,2011,pre_ACA
GA,2012,pre_ACA
GA,2013,pre_ACA
GA,2014,FFM
GA,2015,FFM
GA,2016,FFM
GA,2017,FFM
GA,2018,FFM
GA,2019,FFM
GA,2020,FFM
GA,2021,FFM
GA,2022,FFM
GA,2023,FFM
HI,2001,pre_ACA
HI,2002,pre_ACA
HI,2003,pre_ACA
HI,2004,pre_ACA
HI,2005,pre_ACA
HI,2006,pre_ACA
HI,2007,pre_ACA
HI,2008,pre_ACA
HI,2009,pre_ACA
HI,2010,pre_ACA
HI,2011,pre_ACA
HI,2012,pre_ACA
HI,2013,pre_ACA
HI,2014,FFM
HI,2015,FFM
HI,2016,FFM
HI,2017,FFM
HI,2018,FFM
HI,2019,FFM
HI,2020,FFM
HI,2021,FFM
HI,2022,FFM
HI,2023,FFM
IA,2001,pre_ACA
IA,2002,pre_ACA
IA,2003,pre_ACA
IA,2004,pre_ACA
IA,2005,pre_ACA
IA,2006,pre_ACA
IA,2007,pre_ACA
IA,2008,pre_ACA
IA,2009,pre_ACA
IA,2010,pre_ACA
IA,2011,pre_ACA
IA,2012,pre_ACA
IA,2013,pre_ACA
IA,2014,FFM
IA,2015,FFM
IA,2016,FFM
IA,2017,FFM
IA,2018,FFM
IA,2019,FFM
IA,2020,FFM
IA,2021,FFM
IA,2022,FFM
IA,2023,FFM
ID,2001,pre_ACA
ID,2002,pre_ACA
ID,2003,pre_ACA
ID,2004,pre_ACA
ID,2005,pre_ACA
ID,2006,pre_ACA
ID,2007,pre_ACA
ID,2008,pre_ACA
ID,2009,pre_ACA
ID,2010,pre_ACA
ID,2011,pre_ACA
ID,2012,pre_ACA
ID,2013,pre_ACA
ID,2014,SBM
ID,2015,SBM
ID,2016,SBM
ID,2017,SBM
ID,2018,SBM
ID,2019,SBM
ID,2020,SBM
ID,2021,SBM
ID,2022,SBM
ID,2023,SBM
IL,2001,pre_ACA
IL,2002,pre_ACA
IL,2003,pre_ACA
IL,2004,pre_ACA
IL,2005,pre_ACA
IL,2006,pre_ACA
IL,2007,pre_ACA
IL,2008,pre_ACA
IL,2009,pre_ACA
IL,2010,pre_ACA
IL,2011,pre_ACA
IL,2012,pre_ACA
IL,2013,pre_ACA
IL,2014,FFM
IL,2015,FFM
IL,2016,FFM
IL,2017,FFM
IL,2018,FFM
IL,2019,FFM
IL,2020,FFM
IL,2021,FFM
IL,2022,FFM
IL,2023,FFM
IN,2001,pre_ACA
IN,2002,pre_ACA
IN,2003,pre_ACA
IN,2004,pre_ACA
IN,2005,pre_ACA
IN,2006,pre_ACA
IN,2007,pre_ACA
IN,2008,pre_ACA
IN,2009,pre_ACA
IN,2010,pre_ACA
IN,2011,pre_ACA
IN,2012,pre_ACA
IN,2013,pre_ACA
IN,2014,FFM
IN,2015,FFM
IN,2016,FFM
IN,2017,FFM
IN,2018,FFM
IN,2019,FFM
IN,2020,FFM
