state,year,poverty_rate,uninsurance_rate
AL,2008,15.7,
AK,2008,8.42,
AZ,2008,14.72,
AR,2008,17.32,
CA,2008,13.28,
CO,2008,11.43,
CT,2008,9.28,
DE,2008,10.0,
DC,2008,17.22,
FL,2008,13.23,
GA,2008,14.66,
HI,2008,9.13,
ID,2008,12.61,
IL,2008,12.19,
IN,2008,13.08,
IA,2008,11.55,
KS,2008,11.32,
KY,2008,17.34,
LA,2008,17.35,
ME,2008,12.32,
MD,2008,8.06,
MA,2008,9.99,
MI,2008,14.44,
MN,2008,9.64,
MS,2008,21.19,
MO,2008,13.38,
MT,2008,14.82,
NE,2008,10.81,
NV,2008,11.31,
NH,2008,7.61,
NJ,2008,8.72,
NM,2008,17.14,
NY,2008,13.61,
NC,2008,14.55,
ND,2008,11.96,
OH,2008,13.36,
OK,2008,15.94,
OR,2008,13.62,
PA,2008,12.14,
RI,2008,11.7,
SC,2008,15.66,
SD,2008,12.45,
TN,2008,15.49,
TX,2008,15.85,
UT,2008,9.56,
VT,2008,10.55,
VA,2008,10.22,
WA,2008,11.35,
WI,2008,10.4,
WY,2008,9.41,
AL,2009,17.54,13.79
AK,2009,9.03,21.09
AZ,2009,16.52,17.33
AR,2009,18.79,17.03
CA,2009,14.17,18.03
CO,2009,12.9,15.78
CT,2009,9.4,8.83
DE,2009,10.83,10.25
DC,2009,18.4,7.02
FL,2009,14.94,20.86
GA,2009,16.51,19.14
HI,2009,10.36,6.97
ID,2009,14.29,17.38
IL,2009,13.34,13.32
IN,2009,14.4,14.27
IA,2009,11.8,8.62
KS,2009,13.36,13.15
KY,2009,18.56,14.51
LA,2009,17.3,17.36
ME,2009,12.31,10.53
MD,2009,9.09,11.11
MA,2009,10.29,4.17
MI,2009,16.2,12.23
MN,2009,10.97,9.1
MS,2009,21.92,17.85
MO,2009,14.59,13.18
MT,2009,15.11,18.2
NE,2009,12.35,11.93
NV,2009,12.35,21.9
NH,2009,8.5,10.24
NJ,2009,9.37,12.63
NM,2009,17.97,19.73
NY,2009,14.16,11.39
NC,2009,16.25,16.08
ND,2009,11.65,9.65
OH,2009,15.23,12.18
OK,2009,16.21,18.71
OR,2009,14.26,17.01
PA,2009,12.47,9.87
RI,2009,11.46,11.27
SC,2009,17.07,16.83
SD,2009,14.22,13.1
TN,2009,17.13,14.27
TX,2009,17.17,23.81
UT,2009,11.53,14.56
VT,2009,11.37,8.64
VA,2009,10.53,11.88
WA,2009,12.31,13.41
WI,2009,12.43,9.36
WY,2009,9.84,15.16
AL,2010,19.03,14.6
AK,2010,9.94,19.85
AZ,2010,17.44,16.88
AR,2010,18.84,17.46
CA,2010,15.8,18.54
CO,2010,13.37,15.92
CT,2010,10.1,9.09
DE,2010,11.83,9.69
DC,2010,19.16,7.6
FL,2010,16.53,21.26
GA,2010,17.88,19.7
HI,2010,10.72,7.89
ID,2010,15.71,17.75
IL,2010,13.81,13.77
IN,2010,15.3,14.83
IA,2010,12.56,9.31
KS,2010,13.6,13.89
KY,2010,18.98,15.25
LA,2010,18.69,17.81
ME,2010,12.93,10.13
MD,2010,9.87,11.27
MA,2010,11.45,4.41
MI,2010,16.76,12.37
MN,2010,11.55,9.07
MS,2010,22.39,18.19
MO,2010,15.27,13.16
MT,2010,14.62,17.32
NE,2010,12.94,11.52
NV,2010,14.93,22.62
NH,2010,8.29,11.13
NJ,2010,10.26,13.24
NM,2010,20.44,19.61
NY,2010,14.94,11.9
NC,2010,17.49,16.77
ND,2010,13.03,9.77
OH,2010,15.85,12.32
OK,2010,16.91,18.86
OR,2010,15.84,17.15
PA,2010,13.4,10.16
RI,2010,14.05,12.17
SC,2010,18.15,17.53
SD,2010,14.43,12.39
TN,2010,17.68,14.36
TX,2010,17.91,23.71
UT,2010,13.16,15.34
VT,2010,12.71,8.05
VA,2010,11.08,13.07
WA,2010,13.43,14.24
WI,2010,13.21,9.43
WY,2010,11.17,14.93
AL,2011,19.04,14.28
AK,2011,10.46,20.12
AZ,2011,18.99,17.17
AR,2011,19.46,17.06
CA,2011,16.56,18.1
CO,2011,13.48,15.12
CT,2011,10.88,8.77
DE,2011,11.88,9.42
DC,2011,18.71,6.91
FL,2011,17.01,20.86
GA,2011,19.14,19.57
HI,2011,12.05,7.12
ID,2011,16.45,16.55
IL,2011,14.96,13.08
IN,2011,16.0,14.5
IA,2011,12.78,8.93
KS,2011,13.76,12.6
KY,2011,19.14,14.44
LA,2011,20.43,17.53
ME,2011,14.13,10.67
