state,year,mean_log_premium_exp,median_log_premium_exp,sd_log_premium_exp,mean_premium_exp,n_plans_exp,mean_persons_covered_exp,mean_log_premium_nonexp,median_log_premium_nonexp,sd_log_premium_nonexp,mean_premium_nonexp,n_plans_nonexp,mean_persons_covered_nonexp,ACA_state,Post_ACA,ACA_x_Post,unemployment_rate,median_household_income,population,pct_65plus,pct_nh_white,poverty_rate,uninsurance_rate,medicaid_expansion,marketplace_SBM,healthcare_spending_per_capita,pre_aca_guaranteed_issue,year_2001,year_2002,year_2003,year_2005,year_2006,year_2007,year_2008,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
AK,2001,6.51964513899676,6.043771133231036,1.454770536711365,1742.1873209259616,42,728.3333333333334,5.638883322778061,5.461109843533946,1.281888945476276,724.3145862171533,171,525.2573099415205,1,0,0,6.3,,,,,,,0.0,0.0,,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2002,6.416238222870144,5.810453022935569,1.4953834664948644,1675.7009953375573,21,1015.047619047619,5.5649789414510895,5.438756336231461,1.3288511778276366,683.5646885534377,164,516.5,1,0,0,7.2,,,,,,,0.0,0.0,,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2003,6.299475638150975,5.826943986939963,1.5081382922624964,1667.1262584776746,20,981.9,5.790825474853786,5.556380652094981,1.282382489984569,816.2806040490976,158,508.3481012658228,1,0,0,7.7,,,,,,,0.0,0.0,,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2005,6.060100171691875,5.637394350926962,1.475419306324694,1431.8904889729604,22,860.8636363636364,5.997098165104518,6.002625295636837,1.304527176148912,897.7292935984768,197,626.0253807106599,1,0,0,6.9,56234.0,641724.0,6.57,66.73,,,0.0,0.0,7358.303569758962,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2006,6.149197658294965,5.5702971639192,1.4126727163490995,1407.360842962943,21,574.0,5.876033272705152,5.84515572017847,1.4099122726782298,936.270575328664,194,600.8556701030927,1,0,0,6.6,59393.0,670053.0,6.57,66.26,,,0.0,0.0,7481.49773226894,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2007,6.372703205230987,6.063836238952211,1.3046683988926495,1456.5553617220155,15,784.2666666666667,5.920797985797993,5.931045950455007,1.323908791591722,899.7123846895832,205,569.2341463414634,1,0,0,6.2,64333.0,683478.0,6.89,66.0,,,0.0,0.0,7886.135325496944,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2008,6.680021003069495,6.854102667090015,1.4807959982956134,1747.6935051328437,9,603.8888888888889,5.922404125340057,5.907966214139398,1.327030716387892,897.1162990369676,160,567.24375,1,0,0,6.5,68460.0,686293.0,7.05,65.58,8.42,,0.0,0.0,8328.804169647658,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2009,6.766035758825839,6.756874069138863,1.2146381429603423,1693.8604227365292,14,831.6428571428571,5.908185047711297,5.841360659626735,1.408217419735874,974.1881069603464,254,493.7244094488189,1,0,0,7.8,66953.0,698473.0,7.44,65.02,9.03,21.09,0.0,0.0,8554.375043845646,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2010,6.352197313985803,5.970598329189686,1.3118240990519496,1356.7417665639907,17,976.3529411764706,5.9355948060713,5.782621874600663,1.4379753670742268,1050.6458492639345,272,465.9154411764706,1,1,1,8.0,64576.0,713985.0,7.47,64.04,9.94,19.85,0.0,0.0,8925.957828245691,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2011,6.644248176675246,6.730987135026906,1.3632322488994648,1662.016089346392,10,882.7,5.878230367813487,5.8280280557290585,1.37304461043791,911.5548386770856,243,536.8724279835391,1,1,1,7.6,67825.0,722718.0,8.08,63.63,10.46,20.12,0.0,0.0,9338.358806616136,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2012,6.692684845650303,6.537599577686111,1.2359740190035484,1568.9483034136213,14,538.8571428571429,6.00777205902575,6.025728100794313,1.417574043997703,1073.8423292135587,260,544.376923076923,1,1,1,7.1,67712.0,731449.0,8.49,62.95,10.12,20.49,0.0,0.0,9921.402585826216,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AK,2013,6.418421978250526,5.862566821296648,1.6570644442022138,2040.711526842938,16,492.9375,5.934062266971394,5.871876311629834,1.4592558747496145,1065.683627413404,273,520.8827838827839,1,1,1,6.9,72237.0,735132.0,8.92,62.46,9.33,18.53,0.0,0.0,10119.271096891443,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AK,2014,6.485448443235138,6.18431484613822,1.3860900634689124,1685.7185035563302,16,395.25,6.096491946901804,6.105894228146323,1.4558666567508038,1183.265836636383,263,436.9771863117871,1,1,1,6.7,71583.0,736732.0,9.49,61.76,11.23,17.21,0.0,0.0,10539.789231362289,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AK,2015,5.9076324820471,5.382061646463956,1.3891878068276182,1183.7329177940742,16,405.9375,6.116705608947134,6.111090008224293,1.4290994427212675,1175.7133219265063,290,447.2,1,1,1,6.3,73355.0,738432.0,9.62,61.27,10.34,14.86,1.0,0.0,11459.416710001731,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AK,2016,6.845986109416768,6.832485885932902,1.7072643424369185,2591.1159381038883,12,528.25,5.957272833958593,5.956139503880587,1.4556315185428903,1016.4034432278172,310,448.3612903225807,1,1,1,6.6,76440.0,741894.0,10.22,61.03,9.89,14.01,1.0,0.0,11772.5712837683,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AK,2017,6.354308288079185,5.654584362118609,1.616197246014892,1843.2405964663385,11,422.27272727272725,6.062324780423396,6.127184515275155,1.4858103280364363,1168.0136761044694,293,538.2218430034129,1,1,1,6.6,73181.0,739795.0,11.22,60.57,11.11,13.66,1.0,0.0,12322.332538067978,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AK,2018,6.640748319785504,5.843205695543686,1.6392630629529363,2235.9959882310523,6,288.6666666666667,6.111028250228726,6.226599885567314,1.4381434115176217,1152.1600924828865,326,524.8404907975461,1,1,1,6.1,74346.0,737438.0,11.93,60.11,10.91,12.64,1.0,0.0,12681.744092384715,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AK,2019,5.965729630709052,5.718965678099794,0.9766418886182678,784.5107990441664,18,323.72222222222223,6.054963656734475,6.065429651913793,1.4148269244090266,1109.1449861350172,295,552.2779661016949,1,1,1,5.6,75463.0,731545.0,12.38,59.83,10.08,12.21,1.0,0.0,13262.34202954022,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AK,2020,6.538956418316519,6.475712124227666,1.0055454622418514,1081.0250161019064,14,178.5,6.200106613007003,6.191159886682413,1.3914844660931474,1201.3794772434085,317,541.2082018927445,1,1,1,8.3,,,,,,,1.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AK,2021,6.02172500307054,5.688822647505536,0.8662405076797279,604.3065515054051,11,1280.4545454545455,6.202406173409897,6.240511804346578,1.4859735719422318,1348.5208428221997,286,577.5594405594405,1,1,1,6.4,77845.0,732673.0,13.43,57.89,10.49,11.41,1.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AK,2022,5.878949930765969,5.632343003661455,1.0939089246155556,656.6434958191026,13,1082.5384615384614,6.115800096826337,6.175897016391196,1.312296760487374,1059.895119935344,309,566.2783171521036,1,1,1,4.3,88121.0,733583.0,13.83,57.4,10.98,10.97,1.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AK,2023,5.699372366520689,5.539972967902132,1.0992115354094547,561.074281128898,6,2384.1666666666665,6.12167335585621,6.127019282019236,1.2422677352451406,1008.7398066528666,261,641.2758620689655,1,1,1,4.2,86631.0,733406.0,14.04,57.66,10.37,10.39,1.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AK,2024,6.824231327705608,6.075988130442328,1.564589595303166,2399.791615925798,8,1885.125,6.141241489346614,6.132350295557587,1.3512854119527915,1193.618998562561,321,599.0654205607476,1,1,1,4.7,95665.0,740133.0,14.78315383856685,57.00461944001957,10.2,11.0,1.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AL,2001,7.082644320304031,7.51165273672385,1.1919631268708597,1951.9073155528768,582,935.4089347079038,5.118167931738659,5.020514223860738,1.2373687616005784,422.5963292940909,1198,701.5851419031719,0,0,0,5.1,,,,,,,0.0,0.0,,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2002,7.0984684806830405,7.568212978481914,1.2056394094019298,2002.167176592336,598,815.4849498327759,5.112767055543604,5.03516037897331,1.208230551771731,406.32213247964273,1229,701.5077298616761,0,0,0,5.9,,,,,,,0.0,0.0,,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2003,7.186514515514547,7.669713629540634,1.205449312632351,2194.899103237268,587,864.4906303236797,5.119885109311233,5.035745937766357,1.2326197431724202,418.12724113134914,1243,738.5205148833468,0,0,0,5.9,,,,,,,0.0,0.0,,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2005,7.090246135971434,7.727661223096897,1.3462688693067426,2314.405835663841,422,547.1611374407582,5.387882714154724,5.265477150307254,1.288921426960007,597.5139411073997,1414,662.4434229137199,0,0,0,4.5,36879.0,4442558.0,12.89,69.64,,,0.0,0.0,5704.596315906287,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2006,7.23524726276937,7.8692855359798335,1.4430542594953966,2805.963443887308,399,851.015037593985,5.30767636711836,5.244389024522481,1.1935501920638552,482.0912959705448,1447,592.9675190048376,0,0,0,4.0,38783.0,4599030.0,13.27,68.96,,,0.0,0.0,5805.354607384601,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2007,7.288804431416892,7.886202948273381,1.3811053396172808,2815.136369437532,348,485.3247126436781,5.378134246960175,5.311846128415781,1.220987423836975,528.839354594397,1393,672.5240488155061,0,0,0,4.1,40554.0,4627851.0,13.5,68.64,,,0.0,0.0,5999.544929169068,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2008,7.354081792736941,7.9490765428244305,1.3868661017623298,3034.3947844639106,289,530.1522491349481,5.356626718594731,5.319617818231117,1.1520214831759248,459.2009777637314,1165,653.575965665236,0,0,0,5.9,42666.0,4661900.0,13.7,68.39,15.7,,0.0,0.0,6173.663098736567,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2009,7.401437935947155,7.978062093899415,1.3830707527192974,3072.133872630086,374,421.51069518716577,5.473636505510392,5.432498548014056,1.2027020383226297,537.1620942101065,1683,558.2085561497327,0,0,0,9.7,40489.0,4708708.0,13.78,67.93,17.54,13.79,0.0,0.0,6387.739481828136,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2010,7.528657762256721,8.12746362021802,1.4106718218168748,3485.300390638725,346,421.6791907514451,5.393383701731332,5.372351693629857,1.1573693131971317,475.18395343237376,1579,621.3274224192527,0,1,0,10.4,40474.0,4785298.0,13.75,67.01,19.03,14.6,0.0,0.0,6406.079621373632,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2011,7.4672963192402095,8.132359674854591,1.3952134622167278,3252.9547651967146,344,504.8517441860465,5.441228992094054,5.4099640531080935,1.1653014231430605,491.5717125105648,1700,578.295294117647,0,1,0,9.6,41415.0,4802740.0,14.03,66.68,19.04,14.28,0.0,0.0,6509.200997763776,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2012,7.51775614704826,8.15420769935334,1.3934022952534784,3377.5957305185584,359,484.2980501392757,5.413046575945594,5.342754610789288,1.1634806121014998,483.8800819655726,1709,582.55119953189,0,1,0,8.2,41574.0,4822023.0,14.52,66.62,18.96,13.34,0.0,0.0,6789.681426239568,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AL,2013,7.53844392415769,8.125155852632922,1.346518048701155,3329.655147006711,427,417.7962529274005,5.439566353665561,5.392861164912373,1.1726796808710271,492.9186102402944,1963,531.825267447784,0,1,0,7.4,42849.0,4833722.0,14.93,66.3,18.73,13.57,0.0,0.0,6965.646762474134,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AL,2014,7.582151749498294,8.150243629857028,1.3845012008892146,3567.9854032529283,415,530.8289156626506,5.462273375863552,5.450499018610722,1.1635651892030885,492.1378564846879,2089,505.5294399234084,0,1,0,6.8,42830.0,4849377.0,15.39,66.1,19.25,12.15,0.0,0.0,7268.562539064296,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AL,2015,7.578913795569315,8.229390672669624,1.4325716784382618,3681.2831887213897,430,532.9604651162791,5.49643646127886,5.492923603293859,1.142891999344713,487.75255798297707,2203,481.2650930549251,0,1,0,6.1,44765.0,4858979.0,15.68,65.94,18.5,10.13,0.0,0.0,7650.166835460701,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AL,2016,7.461494305447858,8.222691060139008,1.4207001646342363,3360.5891508595523,390,485.10769230769233,5.541568662629523,5.533754274723783,1.1497098678194924,507.6031344561919,2291,510.8472282845919,0,1,0,5.8,46257.0,4863300.0,16.12,65.74,17.09,9.1,0.0,0.0,7973.598174079329,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AL,2017,7.517895290061935,8.276364544336893,1.4278982048530648,3459.9058258335454,410,474.48048780487807,5.598473542444198,5.611228493045593,1.1561827957255797,540.4963502938274,2263,537.7485638532921,0,1,0,4.5,48123.0,4874747.0,16.48,65.47,16.89,9.37,0.0,0.0,8160.013227353133,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AL,2018,7.536510153613016,8.237494532313718,1.4194029663853722,3540.7803039844207,422,482.35781990521326,5.657800517971605,5.640209590305606,1.0970688715353958,532.9066909612602,2181,573.0917010545621,0,1,0,3.9,49861.0,4887871.0,16.97,65.31,16.8,10.01,0.0,0.0,8349.238349375424,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AL,2019,7.525233433217386,8.301032440348981,1.4539702657728588,3598.9623237972187,465,425.2731182795698,5.71570927877506,5.714208202010879,1.08324917376105,554.3455045063092,2198,577.3521383075523,0,1,0,3.2,51734.0,4903185.0,17.42,65.12,15.46,9.72,0.0,0.0,8750.026768314881,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AL,2020,7.562570274238951,8.33935193905966,1.417145064185815,3606.6195176975016,476,438.5483193277311,5.733603143636548,5.72117421736807,1.0739515951736087,552.0846981150286,2383,567.4238355014687,0,1,0,6.4,,,,,,,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AL,2021,7.42090509509517,8.291837409400333,1.4893622001538462,3397.814550173789,523,471.263862332696,5.760908030844988,5.736041389019338,1.1225568798030643,605.4825657054307,2395,573.8154488517745,0,1,0,3.3,53913.0,5039877.0,17.58,64.15,16.14,9.85,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AL,2022,7.520016721057558,8.385386801104104,1.4764055849804083,3633.955973588867,471,496.3418259023355,5.81013383515716,5.838141680246802,1.1297223430076275,629.0828693876269,2320,557.1090517241379,0,1,0,2.5,59674.0,5074296.0,17.99,64.05,16.24,8.77,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
